order_id,customer_name,product,quantity,price,order_date
1,Arlan Blaxland,error: undefined method `first' for nil:NilClass,9,3822.38,11/23/2025
2,Karee Vearnals,error: undefined method `first' for nil:NilClass,1,1720.5,5/4/2025
3,Jacob Berndtsson,error: undefined method `first' for nil:NilClass,10,1467.91,5/21/2025
4,Jarrad Cave,error: undefined method `first' for nil:NilClass,5,4796.5,3/5/2025
5,Artie Ciotto,error: undefined method `first' for nil:NilClass,10,15.46,12/16/2025
6,Martina Illingsworth,error: undefined method `first' for nil:NilClass,10,2985.97,4/29/2025
7,Budd Sexcey,error: undefined method `first' for nil:NilClass,6,3848.37,12/15/2025
8,Kamilah Yve,error: undefined method `first' for nil:NilClass,7,3963.29,10/15/2025
9,Ede Petrasch,error: undefined method `first' for nil:NilClass,8,3029.99,11/18/2025
10,Marwin Hardware,error: undefined method `first' for nil:NilClass,6,3498.56,11/19/2025
11,Fitz Immins,error: undefined method `first' for nil:NilClass,1,2756.96,5/13/2025
12,Sandi Livezley,error: undefined method `first' for nil:NilClass,5,4048.01,5/5/2025
13,Karleen Bouchard,error: undefined method `first' for nil:NilClass,3,4449.02,12/24/2025
14,Bethany Dark,error: undefined method `first' for nil:NilClass,10,988.41,8/7/2025
15,Nolana Frotton,error: undefined method `first' for nil:NilClass,1,3766.15,1/5/2025
16,Garland Bristowe,error: undefined method `first' for nil:NilClass,7,1431.09,7/11/2025
17,Mollie Maingot,error: undefined method `first' for nil:NilClass,8,1416.68,10/25/2025
18,Ara Breadon,error: undefined method `first' for nil:NilClass,7,3998.15,8/25/2025
19,Obidiah McGrory,error: undefined method `first' for nil:NilClass,8,4875.24,11/4/2025
20,Ode Kubalek,error: undefined method `first' for nil:NilClass,3,3323.7,11/19/2025
21,Tasia Toma,error: undefined method `first' for nil:NilClass,7,4713.08,9/20/2025
22,Arny Sworder,error: undefined method `first' for nil:NilClass,9,1538.56,4/27/2025
23,Valdemar Ostridge,error: undefined method `first' for nil:NilClass,5,3530.94,5/12/2025
24,Sandy Aronov,error: undefined method `first' for nil:NilClass,3,1747.9,5/26/2025
25,Diane-marie Tarbatt,error: undefined method `first' for nil:NilClass,7,1532.41,4/28/2025
26,Doro Tomankowski,error: undefined method `first' for nil:NilClass,1,1727.17,9/22/2025
27,Mose Halewood,error: undefined method `first' for nil:NilClass,7,3514.5,11/12/2025
28,Goldina Likely,error: undefined method `first' for nil:NilClass,8,1314.25,12/4/2025
29,Freda Spadoni,error: undefined method `first' for nil:NilClass,6,3511.25,4/8/2025
30,Yule Vaughan-Hughes,error: undefined method `first' for nil:NilClass,4,785.28,4/16/2025
31,Lenard Pagram,error: undefined method `first' for nil:NilClass,1,89.67,4/6/2025
32,Hadria Richley,error: undefined method `first' for nil:NilClass,10,1459.72,4/14/2025
33,Reinaldos Demschke,error: undefined method `first' for nil:NilClass,4,2178.15,10/25/2025
34,Britt Roscow,error: undefined method `first' for nil:NilClass,6,817.81,1/22/2025
35,Barbee Brash,error: undefined method `first' for nil:NilClass,1,1124.75,8/29/2025
36,Anallise Trollope,error: undefined method `first' for nil:NilClass,6,3285.4,6/7/2025
37,Fonz Huc,error: undefined method `first' for nil:NilClass,3,3651.62,1/6/2025
38,Ashley Butson,error: undefined method `first' for nil:NilClass,5,3178.07,8/23/2025
39,Tadeas Rawstron,error: undefined method `first' for nil:NilClass,10,3890.49,9/11/2025
40,Nadia Skone,error: undefined method `first' for nil:NilClass,8,4528.49,4/16/2025
41,Burl Aldington,error: undefined method `first' for nil:NilClass,10,992.45,1/10/2025
42,Benedetto Zukierman,error: undefined method `first' for nil:NilClass,9,3889.45,11/23/2025
43,Thornie Yakubowicz,error: undefined method `first' for nil:NilClass,10,4753.06,9/29/2025
44,Adriaens Kyllford,error: undefined method `first' for nil:NilClass,6,1182.33,6/23/2025
45,Jesse Knudsen,error: undefined method `first' for nil:NilClass,4,52.3,5/31/2025
46,Lewiss Luckcuck,error: undefined method `first' for nil:NilClass,5,4638.61,3/21/2025
47,Gearalt Maybery,error: undefined method `first' for nil:NilClass,6,496.49,10/18/2025
48,Patty Feifer,error: undefined method `first' for nil:NilClass,8,2627.75,3/29/2025
49,Annelise Leban,error: undefined method `first' for nil:NilClass,6,3129.14,1/8/2025
50,Loralee Goodlife,error: undefined method `first' for nil:NilClass,7,75.15,12/21/2025
51,Moria Allcock,error: undefined method `first' for nil:NilClass,4,4557.44,12/2/2025
52,Dniren Rapi,error: undefined method `first' for nil:NilClass,3,3519.99,10/4/2025
53,Salomone Tomasz,error: undefined method `first' for nil:NilClass,4,3071.18,1/2/2025
54,Boy Giffen,error: undefined method `first' for nil:NilClass,4,186.03,3/12/2025
55,Laurice Dearsley,error: undefined method `first' for nil:NilClass,5,2885.89,7/14/2025
56,Osbourne Sisse,error: undefined method `first' for nil:NilClass,6,4388.68,7/27/2025
57,Adair Varne,error: undefined method `first' for nil:NilClass,8,4567.86,8/25/2025
58,Keslie Obey,error: undefined method `first' for nil:NilClass,4,4906.18,3/20/2025
59,Vanya Doward,error: undefined method `first' for nil:NilClass,2,4541.37,3/23/2025
60,Brooks de Najera,error: undefined method `first' for nil:NilClass,6,717.03,7/20/2025
61,Trista Hinksen,error: undefined method `first' for nil:NilClass,10,3059.22,6/15/2025
62,Emmaline Carus,error: undefined method `first' for nil:NilClass,10,2046.27,1/23/2025
63,Yevette Steenson,error: undefined method `first' for nil:NilClass,4,531.59,8/26/2025
64,Kimberley Blanking,error: undefined method `first' for nil:NilClass,8,1674.34,6/16/2025
65,Richmond Kelmere,error: undefined method `first' for nil:NilClass,4,995.09,4/22/2025
66,Parke Corran,error: undefined method `first' for nil:NilClass,5,3378.22,2/19/2025
67,Leelah Folling,error: undefined method `first' for nil:NilClass,7,4812.65,4/11/2025
68,Waldon Palumbo,error: undefined method `first' for nil:NilClass,8,572.27,1/3/2025
69,Tara Garlett,error: undefined method `first' for nil:NilClass,3,273.27,10/13/2025
70,Van Ratke,error: undefined method `first' for nil:NilClass,6,2562.42,3/21/2025
71,Corliss Senecaut,error: undefined method `first' for nil:NilClass,6,179.83,7/17/2025
72,Archibaldo Gurley,error: undefined method `first' for nil:NilClass,5,3749.68,1/2/2025
73,Fredrika Barwise,error: undefined method `first' for nil:NilClass,3,98.31,12/16/2025
74,Helena Branca,error: undefined method `first' for nil:NilClass,5,547.56,9/12/2025
75,Lorain Duchan,error: undefined method `first' for nil:NilClass,8,3625.72,3/28/2025
76,Phillip Hosier,error: undefined method `first' for nil:NilClass,3,2931.53,6/19/2025
77,Aura Burds,error: undefined method `first' for nil:NilClass,8,3202.26,4/6/2025
78,West Fishlock,error: undefined method `first' for nil:NilClass,4,2172.72,5/14/2025
79,Gabe Gawkes,error: undefined method `first' for nil:NilClass,1,4273.3,10/7/2025
80,Doreen Cheetham,error: undefined method `first' for nil:NilClass,6,4982.93,3/20/2025
81,Kingsley Issatt,error: undefined method `first' for nil:NilClass,2,4704.67,8/30/2025
82,Aarika Tarte,error: undefined method `first' for nil:NilClass,9,3402.56,6/16/2025
83,Temp Fuke,error: undefined method `first' for nil:NilClass,7,3667.36,8/18/2025
84,Kathe Bushell,error: undefined method `first' for nil:NilClass,2,1498.46,11/5/2025
85,Dodie Sinney,error: undefined method `first' for nil:NilClass,4,523.35,8/31/2025
86,Vyky Gorrick,error: undefined method `first' for nil:NilClass,5,590.14,12/28/2025
87,Crissie Gandey,error: undefined method `first' for nil:NilClass,8,1588.34,5/24/2025
88,Thea Hanks,error: undefined method `first' for nil:NilClass,9,173.27,6/1/2025
89,Efren Abramof,error: undefined method `first' for nil:NilClass,8,1545.01,5/25/2025
90,Evonne Thunnercliff,error: undefined method `first' for nil:NilClass,6,3111.83,2/6/2025
91,Bastian McDonald,error: undefined method `first' for nil:NilClass,5,2841.13,8/2/2025
